nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
Baker,Roy,0.6491228070175438,0.22436853659015976,0.767156862745098,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,0.6548892284186402,marié,1.0,0.4,0.3752276867030965,,0.3706927733397172
Taylor,Michael,0.24561403508771928,-2.709529028726085,0.6482843137254901,H,oui,aucun,Bretagne,non,0.6245225362872422,divorcé,,0.4,,,0.0
Diaz,Andres,0.9298245614035087,0.5310477246023109,0.5232843137254903,H,oui,aucun,Corse,non,0.8111153552330024,marié,,0.12,0.18214936247723124,0.5190110867944494,0.0
Fields,Sarah,0.45614035087719296,-0.12320120982360919,0.3296568627450981,H,non,master,Normandie,oui,0.5183346065699007,marié,0.4,0.82,0.18579234972677594,,0.2553168941286755
Moore,Joseph,0.9122807017543858,-0.09253329102239581,0.5674019607843138,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,0.7834224598930482,divorcé,,0.36,,,0.7225848584689293
Nelson,Thomas,0.7368421052631579,-0.41965775823535584,0.47058823529411764,F,non,bac+2,Occitanie,non,0.5162337662337663,veuf,,0.12,0.2550091074681238,0.12887520742646882,0.0
Johnson,Scott,0.9122807017543858,-0.5014388750385973,0.5870098039215687,H,non,doctorat,Auvergne-Rhône-Alpes,oui,0.6426661573720398,célibataire,0.6000000000000001,0.52,,0.14659676294461413,0.9401478728433852
Beck,Ronald,0.631578947368421,1.0524023442229702,0.5661764705882354,H,oui,aucun,Normandie,oui,0.2580213903743315,marié,0.4,0.67,,0.07153074721627667,0.26243457133225556
Weber,Abigail,0.7543859649122807,-0.9512350174564196,0.6593137254901962,H,oui,master,Occitanie,oui,0.2097020626432391,marié,,0.39,0.03825136612021851,1.0,0.6200743758202704
Herring,William,0.6666666666666666,0.8070589938132486,0.4007352941176471,F,non,aucun,Bretagne,oui,0.24255156608097783,veuf,0.6000000000000001,0.83,0.09471766848816021,0.055868786224477524,0.09358602423446259
Perez,Jeffrey,0.26315789473684215,-0.1947596870264462,0.7218137254901962,H,oui,master,Bretagne,oui,0.11134453781512606,marié,0.8,0.49,,1.0,0.5209042285386618
Watkins,Joshua,0.7894736842105262,1.399972090636739,0.3308823529411765,F,non,doctorat,Hauts-de-France,oui,0.5017188693659282,,,0.17,,0.5190110867944494,0.3655428211437278
Nichols,Elizabeth,0.26315789473684215,2.3711228526752177,0.16299019607843135,H,oui,bac,Normandie,oui,0.4852941176470588,marié,0.2,0.66,,0.09839397801880667,0.27208965933034135
Barber,Jodi,0.2807017543859649,-0.7161143066471025,0.642156862745098,F,oui,doctorat,Auvergne-Rhône-Alpes,non,0.42799847211611913,divorcé,0.0,0.6,0.4972677595628415,,0.0
Garner,Samuel,0.5087719298245613,-0.2663181642292803,0.36764705882352944,F,oui,doctorat,Bretagne,oui,0.4887318563789152,veuf,0.4,0.69,,,0.7207427743571171
Lopez,Kenneth,0.14035087719298245,1.4510852886387642,0.5894607843137255,F,oui,aucun,Hauts-de-France,oui,0.4131016042780748,,0.4,0.51,0.989071038251366,0.11002236598446408,0.0
Rivera,Phillip,0.49122807017543857,-0.20498232662685065,0.4558823529411766,H,non,doctorat,Occitanie,oui,0.5464094728800611,marié,,0.65,,1.0,0.41848024616305934
Gonzalez,Karen,0.38596491228070173,-1.4930349162778849,0.6580882352941178,F,non,doctorat,Normandie,non,0.3877005347593583,divorcé,,0.7,0.28051001821493615,1.0,0.0
Bird,Dustin,0.4385964912280701,0.745723156210819,0.661764705882353,H,oui,doctorat,Occitanie,oui,0.4125286478227655,veuf,,0.53,0.9781420765027321,0.12716096293980425,0.9358537533251696
Maldonado,Jacqueline,0.6491228070175438,-0.16409176822522992,0.6225490196078431,H,oui,doctorat,Normandie,oui,0.0,,0.8,0.97,0.761384335154827,0.09182174550876603,0.7376117191899421
West,Yvonne,0.0,-1.1659104490649248,0.5919117647058824,F,oui,aucun,Auvergne-Rhône-Alpes,oui,0.29087089381207026,marié,0.0,0.89,,0.13732906856496957,0.0
Wilson,Elizabeth,0.7719298245614034,0.14258741978692122,0.5882352941176472,H,non,bac+2,Corse,oui,0.07715813598166539,marié,1.0,0.29,0.47540983606557374,0.14051417714821673,0.15879658397687516
Pugh,Stephanie,0.4736842105263158,0.3368175721946175,0.4828431372549019,H,non,doctorat,Île-de-France,non,0.012987012987012991,veuf,0.8,0.51,,1.0,0.0
Martinez,Isaac,0.19298245614035092,0.5310477246023109,0.49387254901960786,F,non,bac,Provence-Alpes-Côte d’Azur,oui,0.5966386554621849,veuf,0.0,0.21,,0.14129049325413048,0.0
Cox,Curtis,0.21052631578947367,0.06080630298367975,0.3075980392156863,F,oui,master,Occitanie,oui,0.3409090909090909,marié,,0.07,,0.5190110867944494,0.609373999482844
Cooper,Timothy,0.9824561403508772,-1.0534614134604698,0.8161764705882353,H,non,master,Île-de-France,oui,0.25267379679144386,veuf,0.0,0.26,,0.5190110867944494,0.24175319359012667
Hunter,Anna,0.42105263157894735,0.3879307701966427,0.5220588235294118,F,oui,aucun,Bretagne,oui,0.29411764705882354,,0.6000000000000001,0.29,0.4025500910746812,1.0,0.3885073660214947
Jenkins,Richard,0.08771929824561403,0.7866137146124368,0.46200980392156876,H,non,aucun,Occitanie,non,0.10676088617265088,célibataire,,0.72,,0.0361790240734951,0.0
Nunez,Tonya,0.4035087719298246,0.9706212274197287,0.446078431372549,F,non,bac+2,Bretagne,oui,0.34778456837280364,marié,0.2,0.53,,0.5190110867944494,0.3907020526828965
Hayes,Diane,0.21052631578947367,0.929730669018108,0.5232843137254903,F,oui,master,Provence-Alpes-Côte d’Azur,oui,0.9512987012987014,divorcé,,0.08,0.012750455373406133,0.5190110867944494,0.5556949584347882
Pierce,Kathryn,0.08771929824561403,-0.797895423450344,0.5257352941176471,H,oui,bac,Auvergne-Rhône-Alpes,non,0.5972116119174943,veuf,,0.77,,,0.0
Reed,David,0.9824561403508772,0.18347797818854195,0.39950980392156865,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,0.1367456073338426,divorcé,0.2,0.79,,0.5190110867944494,0.2758430383403274
Stark,Joshua,0.07017543859649122,2.0439983854622574,0.42524509803921573,H,oui,bac,Bretagne,oui,0.23510313216195566,divorcé,0.4,0.25,,0.5190110867944494,0.10299842281460048
Conley,Julia,0.9298245614035087,-1.4419217182758597,0.09558823529411764,H,non,aucun,Occitanie,non,0.8139801375095493,,0.8,0.03,0.17486338797814205,0.1810317212188259,0.0
Clark,Melissa,0.4035087719298246,0.5412703642027182,0.536764705882353,F,oui,bac+2,Hauts-de-France,oui,0.5691367456073338,divorcé,0.6000000000000001,0.86,,1.0,0.4284929734424195
Poole,Jennifer,0.0,-0.16409176822522992,0.547794117647059,F,non,aucun,Auvergne-Rhône-Alpes,non,0.7568754774637128,marié,,0.15,0.814207650273224,,0.0
Gregory,Alexandria,0.0,0.09147422178489602,0.3982843137254902,F,non,doctorat,Île-de-France,oui,0.22307104660045834,divorcé,,0.83,0.38979963570127496,0.1486323080253,0.6362081141634844
Smith,Rhonda,0.3157894736842105,2.43245869027765,0.5416666666666667,H,non,bac,Bretagne,oui,0.09052711993888464,,,0.18,,0.10061037493085784,0.0
Martinez,Anthony,0.4035087719298246,-1.6259292310831515,0.8370098039215688,F,non,master,Bretagne,oui,0.2851413292589763,divorcé,0.6000000000000001,0.47,0.15300546448087426,,0.019985862237022724
Barrett,Devin,0.719298245614035,-1.3499179618722137,0.5649509803921569,H,non,aucun,Normandie,oui,0.5460275019098549,célibataire,,0.58,,,0.0
Rogers,David,0.0,-0.726336946247507,0.6115196078431373,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,0.45129870129870125,,,0.34,,0.14040066376470023,0.09263886384082486
Ross,Mark,0.5964912280701754,-0.6547784690446729,0.12377450980392152,H,non,bac,Provence-Alpes-Côte d’Azur,oui,0.3279220779220779,veuf,0.6000000000000001,0.59,,0.5190110867944494,0.030753888300607855
Vargas,Gregory,0.45614035087719296,-1.0636840530608744,0.6813725490196079,F,oui,master,Île-de-France,oui,0.5926279602750192,marié,,0.34,,,0.45143527428635044
Krueger,Heather,0.8070175438596491,0.07102894258408421,0.5183823529411765,F,non,doctorat,Corse,non,0.49598930481283415,marié,,0.83,,0.5190110867944494,0.0
Reid,James,0.38596491228070173,-0.10275593062280028,0.420343137254902,H,non,bac+2,Normandie,non,0.3132161955691367,célibataire,0.6000000000000001,0.09,,0.11479089006998389,0.0
Reed,Jill,0.9649122807017544,0.8888401106164872,0.6115196078431373,F,non,bac,Hauts-de-France,oui,0.4348739495798319,divorcé,,0.32,0.1056466302367941,0.1507727086890647,0.0
Castillo,Carl,0.6666666666666666,1.1341834610262087,0.5245098039215687,F,non,master,Provence-Alpes-Côte d’Azur,oui,0.109816653934301,,0.6000000000000001,0.41,,1.0,0.25988709406721106
Miller,Danny,0.3157894736842105,0.43904396819866787,0.3357843137254902,H,non,aucun,Bretagne,oui,0.5956837280366692,,0.2,0.43,,1.0,0.32664097035318473
Romero,Adrian,0.2807017543859649,0.41859868899785607,0.47058823529411764,F,oui,bac+2,Corse,oui,0.4004965622612681,veuf,0.2,0.3,,0.18741444409706356,0.3671761332216007
Whitaker,Andrew,0.19298245614035092,0.8479495522148693,0.5870098039215687,H,oui,aucun,Corse,oui,0.5064935064935066,célibataire,0.4,0.88,,,0.04923512707767452
Perez,Amanda,0.12280701754385964,-0.5321067938398106,0.16421568627450978,F,non,aucun,Bretagne,oui,0.5238731856378915,célibataire,,0.56,0.33333333333333326,0.08825569370626007,0.0
Turner,Zachary,0.719298245614035,0.2141458969897553,0.4558823529411766,H,oui,doctorat,Normandie,oui,0.18792971734148206,,,0.25,0.3387978142076502,0.5190110867944494,0.4400729953177136
Hansen,Jessica,0.4035087719298246,-0.4298803978357603,0.6568627450980393,H,oui,bac+2,Corse,oui,0.2477081741787624,divorcé,0.6000000000000001,0.31,,0.0653288761694043,0.2465751192784815
Reed,Andrea,0.9824561403508772,-1.8610499418924655,0.27818627450980393,H,non,bac+2,Auvergne-Rhône-Alpes,oui,0.4747899159663866,divorcé,0.0,0.74,,0.5190110867944494,0.2897930802840579
Bauer,Christopher,0.10526315789473684,-0.4809935958377855,0.46200980392156876,F,oui,aucun,Bretagne,oui,0.27310924369747897,marié,0.6000000000000001,0.32,0.5446265938069216,0.1292975156922633,0.2525270372990252
Anderson,Dawn,0.9649122807017544,-0.31743136223130547,0.48774509803921573,H,non,aucun,Auvergne-Rhône-Alpes,oui,0.8156990068754775,veuf,0.0,0.47,0.6010928961748633,,0.49124826611730543
Hawkins,Kathy,0.7368421052631579,-0.22542760582765956,0.12867647058823534,F,non,aucun,Occitanie,non,0.40106951871657753,marié,0.4,0.26,,1.0,0.0
Gilbert,Ashlee,0.07017543859649122,1.9928851874602325,0.7794117647058825,F,non,bac+2,Normandie,non,0.2631779984721161,divorcé,,0.93,,,0.0
Flowers,John,0.9999999999999999,-0.9410123778560122,0.4779411764705883,H,non,bac+2,Auvergne-Rhône-Alpes,non,0.8170359052711994,célibataire,0.0,0.64,0.5719489981785063,0.5190110867944494,0.21675580554672497
Stuart,Brittany,0.9999999999999999,-0.9512350174564196,0.7365196078431373,H,oui,bac,Île-de-France,non,0.33384262796027503,célibataire,0.0,0.02,,1.0,0.0
Cantu,Brian,0.4035087719298246,-0.6445558294442684,0.6740196078431373,F,non,bac,Hauts-de-France,oui,0.4849121466768525,,,0.92,,0.1230254202640629,0.0
Mathews,Timothy,0.38596491228070173,0.17325533858813458,0.35539215686274517,F,non,bac,Île-de-France,non,0.2671886936592819,veuf,1.0,0.11,0.07650273224043713,,0.0
Coleman,Monica,0.36842105263157887,-0.6547784690446729,0.13848039215686275,H,non,aucun,Île-de-France,non,0.5213903743315509,célibataire,,0.31,,1.0,0.0
Santos,Zachary,0.5087719298245613,0.9399533086185123,0.47426470588235303,H,oui,aucun,Île-de-France,oui,0.6281512605042017,divorcé,,0.68,0.14025500910746802,,0.4603132640823973
Li,Teresa,0.6842105263157895,0.4083760493974516,0.6678921568627452,H,oui,bac,Corse,oui,0.707983193277311,célibataire,0.2,0.78,0.761384335154827,,0.5380310928553238
Bailey,Jennifer,0.8947368421052632,1.164851379827425,0.10661764705882348,F,oui,bac,Île-de-France,oui,0.17857142857142855,célibataire,,0.24,0.007285974499089187,,0.0
Leon,Christopher,0.24561403508771928,0.24481381579097158,0.20833333333333337,H,non,master,Corse,non,0.2599312452253629,,,0.78,,0.5190110867944494,0.0
Horton,Katherine,0.9824561403508772,0.9808438670201332,0.6213235294117648,F,oui,bac+2,Occitanie,non,0.28609625668449196,divorcé,0.6000000000000001,0.59,0.8633879781420765,,0.0
Campbell,Danielle,0.6491228070175438,1.6146475222452472,0.31495098039215685,F,oui,doctorat,Normandie,oui,0.019480519480519487,veuf,0.8,0.35,,1.0,0.12596033761518804
Bowers,Jennifer,0.38596491228070173,0.7763910750120324,0.6899509803921569,F,oui,master,Normandie,oui,0.5679908326967151,célibataire,0.8,0.71,0.3570127504553734,0.16098891320555062,0.4154194459995198
Fox,Thomas,0.6666666666666666,-0.9716802966572284,0.45833333333333326,F,non,doctorat,Bretagne,oui,0.2689075630252101,marié,1.0,0.47,0.032786885245901565,0.5190110867944494,0.5092511521696819
Simpson,Curtis,0.6842105263157895,0.6639420394075776,0.5857843137254902,H,non,doctorat,Corse,oui,0.12910618792971734,marié,0.0,0.32,,,0.0
Porter,Kenneth,0.3508771929824561,-1.0023482154584447,0.35049019607843135,F,non,aucun,Hauts-de-France,oui,0.4988540870893812,divorcé,,0.7,0.9508196721311476,0.09798994733171401,0.0
Cabrera,Sharon,0.26315789473684215,-0.25609552462887586,0.1139705882352941,F,oui,master,Provence-Alpes-Côte d’Azur,oui,0.358479755538579,veuf,,0.44,0.6302367941712202,0.5190110867944494,0.47033408351967115
King,Nancy,0.719298245614035,0.44926660779907235,0.40318627450980393,H,oui,bac,Provence-Alpes-Côte d’Azur,non,0.37203972498090143,veuf,,0.33,,1.0,0.0
Harris,Scott,0.4035087719298246,0.2652590949917805,0.4068627450980392,F,non,bac+2,Île-de-France,non,0.7293735676088617,célibataire,1.0,0.08,,,0.0
Paul,Jason,0.4385964912280701,-1.7179329874867975,0.49754901960784315,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,0.8397631779984721,veuf,0.0,0.27,0.8524590163934426,1.0,0.9064058891068645
Andrade,Richard,0.4736842105263158,-0.20498232662685065,0.3615196078431373,F,non,bac,Provence-Alpes-Côte d’Azur,non,0.7125668449197862,marié,0.4,0.06,,0.5190110867944494,0.0
Rivers,Derrick,0.7543859649122807,-0.30720872263090104,0.3443627450980392,H,non,doctorat,Normandie,oui,0.33632543926661573,,,0.73,0.8415300546448087,0.10868906471705828,0.6141700838580912
Smith,Rachel,0.05263157894736842,-0.8183407026511529,0.6176470588235294,H,non,aucun,Hauts-de-France,oui,0.02769289533995417,veuf,0.8,0.03,0.9435336976320582,1.0,0.0
Bryant,Ashley,0.07017543859649122,-0.9819029362576329,0.5428921568627452,F,oui,master,Provence-Alpes-Côte d’Azur,non,0.5139419404125287,veuf,,0.74,,1.0,0.08025142971844745
